FID,state_po,county_name,NAME,x,y,Pop,Sexratio,Pct1829,Pct65,PctBlack,PctHispanic,MedIncome,PctBach,Gini,PctManuf,lnPopden,Pct3party,Turnout,PctFB,PctInsured,pct_dem_dr
1001,AL,AUTAUGA,"Autauga County, Alabama",872695.52,-512379.11,55049,0.954,14.9,14,18.52,2.57,53099,24.6,0.4295,14,3.5767,3.46,60.65,1.84,91.1,24.62
1003,AL,BALDWIN,"Baldwin County, Alabama",789797.41,-722265.70,199510,0.9533,13.3,18.7,9.32,4.37,51365,29.5,0.4608,9.24,3.8806,4.07,61.34,3.27,88.2,20.21
1005,AL,BARBOUR,"Barbour County, Alabama",997016.08,-573843.55,26614,1.1506,16.2,16.5,47.93,4.31,33956,12.9,0.462,22.41,2.4521,1.38,50.11,2.86,87,47.18
1007,AL,BIBB,"Bibb County, Alabama",822891.25,-465202.62,22572,1.1522,16.3,14.9,21.21,2.22,39776,12,0.4494,21.14,2.6389,2.35,49.52,1.35,91,21.76
1009,AL,BLOUNT,"Blount County, Alabama",863690.48,-351055.33,57704,0.9808,13.6,17.2,1.57,8.73,46212,13,0.4165,15.57,3.5425,2.24,58.04,4.27,88.8,8.62
1011,AL,BULLOCK,"Bullock County, Alabama",964069.06,-551583.93,10552,1.1833,16.4,15.1,75.5,0.12,29335,10.3,0.4701,25.8,1.8782,0.85,56.93,1.52,83.3,75.59
1013,AL,BUTLER,"Butler County, Alabama",877743.35,-599518.66,20280,0.8851,13.7,18.1,43.76,1.25,34315,16.1,0.4588,20.56,2.3105,1.2,56.14,1.4,88.2,43.19
1015,AL,CALHOUN,"Calhoun County, Alabama",933829.61,-367320.71,115883,0.9269,16.7,15.9,20.53,3.44,41954,17.7,0.4543,16.86,4.302,3.67,53.02,2.39,89.1,28.72
1017,AL,CHAMBERS,"Chambers County, Alabama",984175.82,-458071.15,34018,0.9199,14.5,18.4,40.51,0.44,36027,12.5,0.4734,27.1,3.0919,1.96,51.99,0.99,88.2,42.45
1019,AL,CHEROKEE,"Cherokee County, Alabama",949222.00,-320191.06,25897,0.9899,12.1,20.3,4.67,1.56,38925,14,0.4464,22.63,2.8936,2.17,52.2,0.73,90.5,14.73
1021,AL,CHILTON,"Chilton County, Alabama",862217.51,-478335.51,43817,0.9686,14.7,15.2,10.08,7.62,42594,14.9,0.4575,13.42,3.1953,2.05,55.31,5.56,84.2,16.18
1023,AL,CHOCTAW,"Choctaw County, Alabama",726596.87,-583235.08,13287,0.9151,12.6,20.7,42.58,0.56,32622,12,0.4799,19.53,1.7256,1.06,69.29,0.17,88.5,43.09
1025,AL,CLARKE,"Clarke County, Alabama",770409.06,-617912.34,24847,0.8954,14,18.1,45.49,0.17,32735,12.1,0.5259,21.89,2.0472,1.09,67.76,0.47,86.7,44.6
1027,AL,CLAY,"Clay County, Alabama",936643.27,-423453.06,13483,0.9397,13.2,19.4,14.78,3.11,38815,11.1,0.4497,34.17,2.154,2.14,62.66,1.89,87.1,19.08
1029,AL,CLEBURNE,"Cleburne County, Alabama",963107.93,-375027.25,14991,0.9808,12.7,18.2,2.36,2.33,36316,11.5,0.4441,18.51,2.3354,2.2,57.49,1.75,86.2,10.61
1031,AL,COFFEE,"Coffee County, Alabama",946791.75,-631614.38,50991,0.9779,14.7,15.8,17.19,6.56,47872,23.7,0.4485,12.63,3.3672,3.23,53.45,3.74,89.3,21
1033,AL,COLBERT,"Colbert County, Alabama",743764.90,-281391.73,54377,0.9347,14,18.5,15.69,2.4,43786,18.5,0.4396,18.5,3.5675,3.44,58.44,1.56,90.9,30.39
1035,AL,CONECUH,"Conecuh County, Alabama",851722.69,-638177.46,12697,0.9039,13.4,20.3,46.31,1.76,27609,8.7,0.4791,18,1.752,1.29,66.66,0.85,80.9,47.38
1037,AL,COOSA,"Coosa County, Alabama",904834.76,-464140.50,10864,0.972,12.8,18.7,32.36,1.29,31910,9.9,0.4263,20.31,1.8632,1.69,59.17,1.25,87.4,34.51
1039,AL,COVINGTON,"Covington County, Alabama",904872.92,-653192.95,37729,0.9338,13.3,20.2,13.11,1.53,37313,14.9,0.4555,15.43,2.6488,1.79,54.16,0.95,87.6,15.25
1041,AL,CRENSHAW,"Crenshaw County, Alabama",912405.33,-598390.90,13896,0.9758,14,17.5,23.83,1.68,37557,14.6,0.468,19.53,2.1761,1.44,58.49,2.29,88.7,26.94
1043,AL,CULLMAN,"Cullman County, Alabama",834669.33,-336932.18,81316,0.9777,14.5,17.8,1.11,4.21,39297,15,0.4529,16.52,3.7547,2.87,60.1,2.83,85.5,10.32
1045,AL,DALE,"Dale County, Alabama",981962.41,-624558.22,49607,0.9713,16.3,15.4,19.67,5.89,44093,16.1,0.4576,11.68,3.5303,2.82,49.47,2.75,86.9,24.22
1047,AL,DALLAS,"Dallas County, Alabama",831751.13,-539738.90,41426,0.8578,15.5,15.7,69.52,0.96,28136,13.8,0.517,20.83,2.7938,0.89,60.65,1.47,87.5,68.92
1049,AL,DEKALB,"DeKalb County, Alabama",927570.01,-290619.66,70937,0.9813,14.3,15.5,1.53,14.02,38248,11.4,0.4438,28.23,3.5623,3.09,48.35,7.28,84,14.47
1051,AL,ELMORE,"Elmore County, Alabama",917857.77,-500877.67,80957,0.9456,15.7,13.9,21.36,2.8,53398,22.2,0.427,12.64,3.9227,3.17,59.69,1.95,91.2,23.4
1053,AL,ESCAMBIA,"Escambia County, Alabama",839022.23,-673218.61,37875,1.049,15.5,16.7,32.39,2.06,32334,11.6,0.4891,16.65,2.7391,2.05,50.44,0.74,82.4,31.67
1055,AL,ETOWAH,"Etowah County, Alabama",911548.57,-338912.70,103363,0.9372,14.3,17.4,15.41,3.63,40478,16.5,0.4391,19.3,4.3116,3.1,54.78,2.88,87.9,24.4
1057,AL,FAYETTE,"Fayette County, Alabama",759248.60,-389943.54,16783,0.981,13.4,19.5,12.54,0.86,36205,14.1,0.4579,24.56,2.3344,2.12,62.61,0.56,91.6,16.87
1059,AL,FRANKLIN,"Franklin County, Alabama",742729.30,-310532.33,31573,0.9708,15.1,16,4.52,16.02,36138,12.4,0.4415,29.46,2.9566,3.13,50.37,8.88,85.9,18.84
1061,AL,GENEVA,"Geneva County, Alabama",964486.14,-664120.32,26765,0.9546,13.1,19,9.6,3.71,36519,11.7,0.4508,13.64,2.8899,2.03,56.47,1.68,85.3,13.24
1063,AL,GREENE,"Greene County, Alabama",747889.13,-488211.36,8587,0.9103,14.5,18,81.25,0.62,21339,10,0.5086,21.67,1.6338,0.59,74,0.26,86,82.73
1065,AL,HALE,"Hale County, Alabama",778713.40,-495674.89,15159,0.8859,14.5,17.7,58.33,1.21,33351,14,0.4906,16.67,2.2071,1.14,69.33,1.04,88.9,60.08
1067,AL,HENRY,"Henry County, Alabama",1015709.66,-611506.20,17187,0.9342,12.5,20.6,27.89,2.53,41045,16.1,0.459,12.5,2.4692,1.83,59.53,1.71,88.5,28.92
1069,AL,HOUSTON,"Houston County, Alabama",1014495.60,-652117.01,103891,0.92,14.6,16,26.64,3.19,41945,21,0.4809,9.65,4.2366,2.92,53.86,2.32,87.9,25.76
1071,AL,JACKSON,"Jackson County, Alabama",906142.28,-256939.52,52608,0.9597,13.1,18.5,3.29,2.73,38422,12.6,0.4543,26.53,2.9362,3.05,50.94,2.26,88.1,18.05
1073,AL,JEFFERSON,"Jefferson County, Alabama",838198.73,-401434.82,659096,0.8987,16.5,14.3,42.52,3.69,47220,31.4,0.4995,8.72,5.4337,4.13,60.02,3.93,89.1,53.79
